,Tahun,Brunei Darussalam,Cambodia,Indonesia ,Lao's PDR,Malaysia ,Myanmar,Philippines,Singapore,Thailand,Viet Nam
,2004M,4.2,1.9,10.5,3.6,3.4,3.6,10.4,5.6,2.1,1.9
,2005M,3.7,3.7,9.3,1.3,3.4,3.7,7.4,3.9,1.9,3.7
,2006M,7.4,3.7,8.5,3.7,3.3,3.7,7.7,3.4,1.3,3.7
,2007M,7.4,0.7,8.1,3.1,3.1,3.7,6.4,2.8,1.3,2.3
,2008M,7.5,0.3,7.6,3.2,3.2,3.7,7,3,1.3,2.5
,2009M,7.5,0.2,7.5,3.7,3.6,3.7,7.4,4.1,1.2,2.5
,2010M,7.6,0.4,6.2,1.8,3.2,3.7,7.4,3,0.9,2.3
,2011M,7.5,0.3,5.9,2.9,2.9,3.7,6.7,2.6,0.6,1.7
,2012M,7.6,0.1,5.8,2.9,2.9,3.7,7,2.7,0.6,1.6
,2013M,2.8,0.3,6.1,2.8,2.9,3.7,6.7,2.7,0.8,2
,2014M,6.2,3.8,5.8,3.8,3.8,3.8,3.8,2.7,3.8,2.1
